"NAVN";"ADRESSE1";"ADRESSE2";"ADRESSE3";"LANDKODE";"POSTNR";"POSTDST";"CVR";"AUTNR";"FORRETNINGSOMR"
"Gastech-Energi A/S";"Sindalsvej 8";"";"";"DK";"8240";"Risskov";"15742984";"GFSA-05338";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Vaillant A/S";"Drejergangen 3 A";"";"";"DK";"2690";"Karlslunde";"64132113";"GFSA-05375";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Thyregod VVS-Forretning";"Hastrupvej 3, Thyregod";"";"";"DK";"7323";"Give";"89791928";"GFSA-05376";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Poul Jensen Handelsselskab A/S";"Brandbjerglundvej 10";"";"";"DK";"8700";"Horsens";"15250992";"GFMT-05353";"Gasgodkendelse, gasdrevne motoranlæg"
"Bourvanil Compagniet I/S";"Navergangen 1";"";"";"DK";"2690";"Karlslunde";"50855317";"GFSA-12087";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"HSM industri A/S";"Bredstrupvej 50";"";"";"DK";"8500";"Grenaa";"88015428";"GDKX-05371";"Kompetent virksomhed på gasområdet"
"Dehlsen & Sønner A/S";"Valhøjs Alle 187";"";"";"DK";"2610";"Rødovre";"15553871";"GFSA-05340";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"HB Gasteknik ApS";"Malervej 1, Ll. Heddinge";"";"";"DK";"4673";"Rødvig Stevns";"25289501";"GFSA-05342";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"G.J. Gas & Oliefyr teknik ApS";"Tåstruphøj 50";"";"";"DK";"4300";"Holbæk";"25071638";"GFSA-05346";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"HNJ Varmeteknik";"Solvej 11";"";"";"DK";"2750";"Ballerup";"";"GFAB-05347";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Pon Power A/S";"Øresundsvej 9";"";"";"DK";"6715";"Esbjerg N";"13711488";"GFMT-05348";"Gasgodkendelse, gasdrevne motoranlæg"
"Sylvest VVS A/S";"Fenrisvej 13 C";"";"";"DK";"3000";"Helsingør";"25103238";"GFSA-11928";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"NISSEN energi teknik a/s";"Godthåbsvej 1";"";"";"DK";"8660";"Skanderborg";"19394441";"GDKX-05350";"Kompetent virksomhed på gasområdet"
"Betanik ApS";"Skærbækvej 56";"";"";"DK";"2610";"Rødovre";"75125119";"GDKX-05392";"Kompetent virksomhed på gasområdet"
"Dantherm Air Handling A/S";"Marienlystvej 65";"";"";"DK";"7800";"Skive";"20864591";"GFSA-05388";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"KVM Industrimaskiner A/S";"Industrivej 22";"";"";"DK";"8620";"Kjellerup";"71014118";"GDKX-05381";"Kompetent virksomhed på gasområdet"
"MS-Flowtechnic ApS";"Messingvej 38 B";"";"";"DK";"8900";"Randers C";"27771297";"GDKX-05380";"Kompetent virksomhed på gasområdet"
"FRICHS A/S";"Sverigesvej 16";"";"";"DK";"8700";"Horsens";"26218993";"GFMT-05402";"Gasgodkendelse, gasdrevne motoranlæg"
"Sejling Smedje ApS";"Lemmingvej 1 B";"";"";"DK";"8600";"Silkeborg";"14233490";"GFSA-05407";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"INDUSTRIVARME A/S";"Landholmvej 12";"";"";"DK";"9280";"Storvorde";"11151582";"GFSA-05355";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Gas Turbine Services A/S";"Murervej 4-6";"";"";"DK";"6710";"Esbjerg V";"20589183";"GFTU-05351";"Gasgodkendelse, gasdrevne turbiner"
"Henning Mortensen Silkeborg A/S";"Stagehøjvej 1";"";"";"DK";"8600";"Silkeborg";"25509129";"GFSA-05413";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Lachenmeier ApS";"Fynsgade 6-10";"";"";"DK";"6400";"Sønderborg";"12070942";"GDKX-05460";"Kompetent virksomhed på gasområdet"
"M.R. Smedie & Rørteknik A/S";"Nr. Onsildvej 8";"";"";"DK";"9500";"Hobro";"30591364";"GFSA-05429";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"LH Energy A/S";"Ole Rømers Vej 4";"";"";"DK";"7000";"Fredericia";"31174945";"GFSA-05430";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Detas Elektronik & Energi A/S";"Brogaardsvej 28";"";"";"DK";"8370";"Hadsten";"18178273";"GFSA-05443";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Xergi A/S";"Hermesvej 1";"";"";"DK";"9530";"Støvring";"27062466";"GFSA-05424";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Aktive Energi Anlæg A/S";"Industrivej Syd 11";"";"";"DK";"7400";"Herning";"28098197";"GFSA-05451";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"BRUHN VVS OG BLIK ApS";"Dybdalvej 4";"";"";"DK";"6500";"Vojens";"26017475";"GFSA-05436";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Assenbjerg Energy Technic ApS";"Bavnevej 26";"";"";"DK";"7323";"Give";"19319504";"GFSA-05440";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"V. Hansen af 2015 ApS";"Tarupvej 57";"";"";"DK";"5210";"Odense NV";"10657636";"GFSA-13706";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Varmeforretningen A/S";"Bornholmsvej 3 B";"";"";"DK";"9500";"Hobro";"32441548";"GFSA-05458";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"VVS-Tek ApS";"Sildegravsbanken 9";"";"";"DK";"5466";"Asperup";"31575559";"GFSA-05442";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Durup Fjernvarme";"Møllevej 10,";"";"Durup";"DK";"7870";"Roslev";"38929119";"GFMT-05467";"Gasgodkendelse, gasdrevne motoranlæg"
"OP VVS ApS";"Værkstedsvej 1";"";"";"DK";"4230";"Skælskør";"31173809";"GFSA-05448";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Børge Hansen A/S";"Jens Hansens Vej 4";"";"";"DK";"7840";"Højslev";"11757588";"GFSA-05441";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"LS EnergiTeknik A/S";"Trondheimparken 11";"";"";"DK";"5400";"Bogense";"27230679";"GFSA-05453";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Jenbacher A/S";"Samsøvej 10";"";"";"DK";"8382";"Hinnerup";"10636930";"GFMT-05464";"Gasgodkendelse, gasdrevne motoranlæg"
"Dansk Energi Service A/S";"Ibæk Strandvej 11";"";"";"DK";"7100";"Vejle";"14498842";"GFSA-05435";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"VVS Installatøren ApS";"Vodskov Kirkevej 22";"";"";"DK";"9310";"Vodskov";"17703803";"GFSA-05341";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
