"Solcenter";"By (solcenter)";"Adresse (solcenter)"
"Fitness dk";" ";"Ro"
"Postfitness";"0929 København C";"KH. Postcenter"
"Solcenteret.dk";"1300 København K";"Borgergade 17 E"
"Fitness.dk";"1304 København K";"Adelgade 5-7"
"Fitness.dk";"1611 København V";"Hammerichsgade 5"
"Club Tan Vesterport";"1612 København V";"Ved Vesterport 4"
"Club Tan Enghavevej";"1674 København V";"Enghavevej 2, st."
"Club Tan Enghavevej";"1674 København V";"Enghavevej 2, st."
"Tropic Sun";"1800 Frederiksberg C";"Vesterbrogade 198"
"Tropic Sun";"1820 Frederiksberg C";"Frederiksberg Alle 50"
"Club Tan";"1850 Frederiksberg C";"Gammel Kongevej 93"
"Clubtan";"1974 Frederiksberg C";"Rosenørns Alle 6, st."
"Clubtan";"2000 Frederiksberg";"Peter Bangs Vej 91"
"Consol Solcenter";"2000 Frederiksberg";"Borups Alle 133"
"Consol Solcenter";"2000 Frederiksberg";"Finsensvej 20"
"Consol Solcenter";"2000 Frederiksberg";"Peter Bangs Vej"
"Fitness dk";"2000 Frederiksberg";"Falkoner Plads 1"
"Frederiksberg Sol";"2000 Frederiksberg";"Roskildevej 82"
"Meddo";"2000 Frederiksberg";"Godthåbsvej 66"
"Tropic Sun";"2000 Frederiksberg";"Bentzonsvej"
"Clubtan Østerbrogade";"2100 København Ø";"Østerbrogade 109 st. 1."
"Consol Solcenter";"2100 København Ø";"Strandboulevarden 36"
"Consol Solcenter";"2100 København Ø";"Århusgade 36"
"FITNESS DK A/S";"2100 København Ø";"Per Henrik Lings Allé 2, 6."
"FITNESS DK A/S";"2100 København Ø";"Per Henrik Lings Allé 2, 6."
"Fitness.dk";"2100 København Ø";"Nygårdsvej 5"
"Jasmin Wellness";"2100 København Ø";"Strandboulevarden 61"
"Sun-Up";"2100 København Ø";"Ndr. Frihavnsgade 79"
"Zen Sun Østerbro";"2100 København Ø";"Bryggervangen 22 kl. th."
"Clubtan";"2200 København N";"Tagensvej 39"
"Consul";"2200 København N";"Jagtvej 21"
"Sol & Wellness";"2200 København N";"Jagtvej 70"
"Beauty Tan";"2300 København S";"Reykjaviksgade 5"
"ClubTan";"2300 København S";"Serbiensgade 4"
"ClubTan";"2300 København S";"Østrigsgade 48"
"Clubtan";"2300 København S";"Amagerbrogade 8"
"Clubtan";"2300 København S";"Dovregade 2"
"Clubtan solcenter";"2300 København S";"Amagerbrogade 210 A"
"Consol Solcenter";"2300 København S";"Amagerbrogade 149"
"Consol Solcenter";"2300 København S";"Amagerbrogade 263"
"Consol Solcenter";"2300 København S";"Amagerbrogade 51"
"Consol Solcenter";"2300 København S";"Isafjordsgade 5"
"Fitness dk";"2300 København S";"Arne Jacobsens Allé 12 - butik 430"
"Fitness.dk";"2300 København S";"Amager Boulevard 70, 4 sal"
"Red Rock Sun";"2300 København S";"Amagerfælledvej 126, st."
"Sun-factory.dk";"2300 København S";"Kastrupvej"
"Sundby Sol og Wellness";"2300 København S";"Amagerbrogade 30"
"Tropic Sun";"2300 København S";"Strandlodsvej 49"
"Wellness World ApS";"2300 København S";"Kvanløsevænge 8"
"Sol & Wellness NV";"2400 København NV";"Tomsgårdsvej 67"
"Fitness.dk";"2450 København SV";"Scandiagade 15"
